5.989429950714111328e-01,5.785660147666931152e-01,5.888458490371704102e-01
4.301593005657196045e-01,3.367056846618652344e-01,5.524601340293884277e-01
5.926140546798706055e-01,3.986427783966064453e-01,6.510992646217346191e-01
5.479767918586730957e-01,4.065842926502227783e-01,7.297881841659545898e-01
5.239648222923278809e-01,4.470275342464447021e-01,8.021832108497619629e-01
5.643762350082397461e-01,5.780410170555114746e-01,1.216667652130126953e+00
5.297294259071350098e-01,5.673465132713317871e-01,6.077097654342651367e-01
4.914478659629821777e-01,3.131606280803680420e-01,6.037311628460884094e-02
3.581458032131195068e-01,1.735797375440597534e-01,1.087642982602119446e-01
4.258084595203399658e-01,1.076072379946708679e-01,4.223286360502243042e-02
1.768410205841064453e-01,1.638258099555969238e-01,8.392460644245147705e-02
1.872498542070388794e-01,1.856867223978042603e-01,1.422674357891082764e-01
