time,temperature,humidity,co2,sound,light
2020-03-29 00:00:00,18.428955,38.0,434.0,45.0,1.04017
2020-03-29 00:05:00,18.4335,38.0,434.0,45.0,1.04
2020-03-29 00:10:00,18.43003,38.0,420.0,45.0,1.04
2020-03-29 00:15:00,18.441145000000002,38.0,420.0,45.0,1.04017
2020-03-29 00:20:00,18.4270722222222,38.0,418.0,45.0,1.04033
2020-03-29 00:25:00,18.42843,38.0,418.0,45.0,1.04017
2020-03-29 00:30:00,18.428127777777696,38.0,412.0,45.0,1.04
2020-03-29 00:35:00,18.4260125,38.0,412.0,45.0,1.04017
2020-03-29 00:40:00,18.42429,37.0,404.0,45.0,1.04
2020-03-29 00:45:00,18.42886,37.0,404.0,45.0,1.04
2020-03-29 00:50:00,18.4249,37.0,420.0,45.0,1.04
2020-03-29 00:55:00,18.424085,37.0,420.0,45.0,1.04017
2020-03-29 01:00:00,18.422105,37.0,419.0,45.0,1.04017
2020-03-29 01:05:00,18.4172,37.0,419.0,45.0,1.04017
2020-03-29 01:10:00,18.425435,37.0,404.0,45.0,1.04017
2020-03-29 01:15:00,18.424475,37.0,404.0,45.0,1.04017
2020-03-29 01:20:00,18.4295,37.0,394.0,46.0,1.04033
2020-03-29 01:25:00,18.43375,37.0,394.0,46.0,1.04033
2020-03-29 01:30:00,18.427385,37.0,404.0,46.0,1.04017
2020-03-29 01:35:00,18.429679999999998,37.0,404.0,46.0,1.04033
2020-03-29 01:40:00,18.419610000000002,37.0,411.0,45.0,1.04017
2020-03-29 01:45:00,18.423395000000003,37.0,411.0,45.0,1.04
2020-03-29 01:50:00,18.424355,37.0,419.0,45.0,1.04017
2020-03-29 01:55:00,18.419404999999898,37.0,419.0,45.0,1.0405
2020-03-29 02:00:00,18.413545000000003,37.0,393.0,45.0,1.04
2020-03-29 02:05:00,18.418485,37.0,393.0,45.0,1.04033
2020-03-29 02:10:00,18.416439999999998,37.0,410.0,46.0,1.04017
2020-03-29 02:15:00,18.414765,37.0,410.0,46.0,1.04
2020-03-29 02:20:00,18.4139666666666,36.0,411.0,46.0,1.04
2020-03-29 02:25:00,18.419245,36.0,411.0,46.0,1.04017
2020-03-29 02:30:00,18.414075,36.0,400.0,46.0,1.04017
2020-03-29 02:35:00,18.408985,36.0,400.0,46.0,1.04017
2020-03-29 02:40:00,18.417859999999898,36.0,410.0,46.0,1.04
2020-03-29 02:45:00,18.41914,36.0,410.0,46.0,1.04
2020-03-29 02:50:00,18.407735,36.0,404.0,46.0,1.04
2020-03-29 02:55:00,18.419655,36.0,404.0,46.0,1.04017
2020-03-29 03:00:00,18.40492,36.0,403.0,46.0,1.04033
2020-03-29 03:05:00,18.40567,36.0,403.0,46.0,1.04
2020-03-29 03:10:00,18.358245,35.0,402.0,46.0,1.04017
2020-03-29 03:15:00,18.367155,35.0,402.0,46.0,1.04
2020-03-29 03:20:00,18.35506,35.0,406.0,46.0,1.04017
2020-03-29 03:25:00,18.36026,35.0,406.0,46.0,1.04017
2020-03-29 03:30:00,18.351364999999998,35.0,409.0,46.0,1.0405
2020-03-29 03:35:00,18.358035,35.0,409.0,46.0,1.04033
2020-03-29 03:40:00,18.339295,35.0,410.0,46.0,1.04067
