1.784186124801635742e+00,4.046380221843719482e-01,1.051454305648803711e+00
1.200016856193542480e+00,9.890007972717285156e-02,5.621109008789062500e-01
5.859555006027221680e-01,4.890824854373931885e-01,5.097784399986267090e-01
1.648868322372436523e-01,1.112979203462600708e-01,1.358142644166946411e-01
2.803412973880767822e-01,1.249455958604812622e-01,2.832921147346496582e-01
3.230866491794586182e-01,1.878105551004409790e-01,7.605869770050048828e-01
2.098448425531387329e-01,1.055652424693107605e-01,9.571784734725952148e-01
3.939659297466278076e-01,1.911004334688186646e-01,1.194863796234130859e+00
3.836975097656250000e-01,2.200416922569274902e-01,1.030566096305847168e+00
1.959397345781326294e-01,1.231001615524291992e-01,4.743091166019439697e-01
1.867832392454147339e-01,1.077999249100685120e-01,6.342292428016662598e-01
3.040063679218292236e-01,3.002480268478393555e-01,9.938371181488037109e-01
